Species,Strain,Found_Strain_NCBI,Accession
Bifidobacterium actinocoloniiforme,DSM 22766,DSM 22766,GCF_001263395.1
Bifidobacterium adolescentis,ATCC 15703,ATCC 15703,GCF_000010425.1
Bifidobacterium aesculapii,DSM 26737,DSM 26737,GCF_001417815.1
Bifidobacterium angulatum,LMG 11039,LMG 11039,GCF_000741065.1
Bifidobacterium animalis subsp. animalis,LMG 10508,LMG 10508,GCF_000741485.1
Bifidobacterium animalis subsp. lactis,DSM 10140,DSM 10140,GCF_000022965.1
Bifidobacterium aquikefiri,LMG 28769,LMG 28769,GCF_002259795.1
Bifidobacterium biavatii,DSM 23969,DSM 23969,GCF_000771645.1
Bifidobacterium bifidum,LMG 11041,LMG 11041,GCF_000741085.1
Bifidobacterium bohemicum,DSM 22767,DSM 22767,GCF_000741525.1
Bifidobacterium bombi,DSM 19703,DSM 19703,GCF_000771085.1
Bifidobacterium boum,LMG 10736,LMG 10736,GCF_000741535.1
Bifidobacterium breve,LMG 13208,LMG 13208,GCF_000741125.1
Bifidobacterium callitrichos,DSM 23973,DSM 23973,GCF_000741175.1
Bifidobacterium catenulatum,LMG 11043,LMG 11043,GCF_000741565.1
Bifidobacterium choerinum,LMG 10510,LMG 10510,GCF_000741135.1
Bifidobacterium commune,R-52791,R-52791,GCF_900094885.1
Bifidobacterium coryneforme,LMG 18911,LMG 18911,GCF_000737865.1
Bifidobacterium crudilactis,LMG 23609,LMG 23609,GCF_000738005.1
Bifidobacterium cuniculi,LMG 10738,LMG 10738,GCF_000741575.1
Bifidobacterium eulemuris,DSM 100216,DSM 100216,GCF_014898155.1
Bifidobacterium gallicum,LMG 11596,LMG 11596,GCF_000741205.1
Bifidobacterium gallinarum,LMG 11586,LMG 11586,GCF_000741215.1
Bifidobacterium hapali,DSM 100202,DSM 100202,GCF_002259755.1
Bifidobacterium kashiwanohense,DSM 21854,DSM 21854,GCF_000741605.1
Bifidobacterium lemurum,DSM 28807,DSM 28807,GCF_014898175.1
Bifidobacterium longum subsp. infantis,ATCC 15697,ATCC 15697,GCF_051906195.1
Bifidobacterium longum subsp. longum,LMG 13197,LMG 13197,GCF_000741245.1
Bifidobacterium longum subsp. suis,LMG 21814,LMG 21814,GCF_000741625.1
Bifidobacterium magnum,LMG 11591,LMG 11591,GCF_000741255.1
Bifidobacterium merycicum,LMG 11341,LMG 11341,GCF_000741615.1
Bifidobacterium minimum,LMG 11592,LMG 11592,GCF_000741645.1
Bifidobacterium mongoliense,DSM 21395,DSM 21395,GCF_000771525.1
Bifidobacterium moukalabense,DSM 27321,DSM 27321,GCF_000522505.1
Bifidobacterium myosotis,DSM 100196,DSM 100196,GCF_002259745.1
Bifidobacterium pseudocatenulatum,LMG 10505,LMG 10505,GCF_000741685.1
Bifidobacterium pseudolongum subsp. globosum,LMG 11569,LMG 11569,GCF_000741295.1
Bifidobacterium pseudolongum subsp. pseudolongum,LMG 11571,LMG 11571,GCF_000741325.1
Bifidobacterium psychraerophilum,LMG 21775,LMG 21775,GCF_000741705.1
Bifidobacterium pullorum,DSM 20433,DSM 20433,GCF_000771405.1
Bifidobacterium reuteri,DSM 23975,DSM 23975,GCF_000771685.1
Bifidobacterium ruminantium,LMG 21811,LMG 21811,GCF_000741365.1
Bifidobacterium saguini,DSM 23967,DSM 23967,GCF_000741715.1
Bifidobacterium scardovii,LMG 21589,LMG 21589,GCF_000741405.1
Bifidobacterium stellenboschense,DSM 23968,DSM 23968,GCF_000741785.1
Bifidobacterium subtile,LMG 11597,LMG 11597,GCF_000741775.1
Bifidobacterium thermacidophilum subsp. thermacidophilum,LMG 21395,LMG 21395,GCF_000741455.1
Bifidobacterium thermophilum,DSM 20212,DSM 20212,GCF_000687575.1
Bifidobacterium tissieri,DSM 100201,DSM 100201,GCF_002259645.1
Bifidobacterium tsurumiense,JCM 13495,JCM 13495,GCF_000741765.1
Bifidobacterium asteroides,LMG 10735,DSM 20089,GCF_002715865.1
Bifidobacterium dentium,LMG 11045,DSM 20436,GCF_001025055.1
Bifidobacterium indicum,LMG 11587,DSM 20214,GCF_000706765.1
Bifidobacterium saeculare,LMG 14934,DSM 6531,GCF_003951865.1
Bifidobacterium thermacidophilum subsp. porcinum,LMG 21689,DSM 17755,GCF_000771045.1
Scardovia inopinata,JCM 12537,DSM 10107,GCF_000154065.1